Module Code,Module Title,2023-24 cap,2022-23 actual students,Notes
COMP0002,Principles of Programming,170,170,
COMP0003,Theory of Computation,170,171,
COMP0004,Object-Oriented Programming,170,171,
COMP0005,Algorithms,170,171,
COMP0007,Directed Reading,27,18,
COMP0008,Computer Architecture and Concurrency,180,167,
COMP0009,Logic,180,169,
COMP0010,Software Engineering,180,164,
COMP0011,Introductory Mathematics for Computer Science,150,151,
COMP0012,Compilers,170,0,
COMP0014,Intelligent Systems,80,79,
COMP0015_T1,Introduction to Programming (Term 1),170,169,
COMP0015_T2,Introduction to Programming (Term 2),130,183,
COMP0016,Systems Engineering,150,149,
COMP0017,Computability and Complexity Theory,185,164,
COMP0019,Computer Systems,110,107,
COMP0020,Functional Programming,25,19,
COMP0021,Interaction Design,45,42,
COMP0022,Database and Information Management Systems,40,28,
COMP0023,Networked Systems,40,21,
COMP0024,Artificial Intelligence and Neural Computing,110,97,
COMP0025,Introduction to Cryptography,65,63,
COMP0026,Image Processing,80,74,
COMP0027,Computer Graphics,120,110,
COMP0029,Individual Project for Year 3 BSc,92,73,
COMP0030,Research Methods,70,67,
COMP0031,Group Research Project,85,67,
COMP0034,Application Programming for Data Science,185,171,
COMP0035,Applied Software Engineering,185,171,
COMP0036,Machine Learning and Neural Computing,80,77,
COMP0037,Robotic Systems,80,76,
COMP0039,Technology Entrepreneurship,150,37,
COMP0040,Data-driven Modelling of Financial Markets,70,49,
COMP0041,Applied Computational Finance,85,77,
COMP0043,Numerical Methods for Finance,55,45,
COMP0045,Probability Theory and Stochastic Processes,70,57,
COMP0046,Networks and Systemic Risk,40,29,
COMP0047,Data Science,85,75,
COMP0048,Financial Engineering,100,87,
COMP0049,Market Microstructure,35,28,
COMP0050,Machine Learning with Applications in Finance,65,56,
COMP0051,Algorithmic Trading,110,102,
COMP0053,Affective Computing and Human-Robot Interaction,50,46,
COMP0054,Computer Security I,70,74,
COMP0055,Computer Security II,60,56,
COMP0056,People and Security,50,51,
COMP0057,Research in Information Security,60,53,
COMP0059,Information Security Management,55,47,
COMP0060,Malware,30,19,
COMP0061,Privacy Enhancing Technologies,20,15,
COMP0063,"Philosophy, Politics and Economics of Security and Privacy",35,34,
COMP0064,MSc Information Security Dissertation,38,53,
COMP0066,Introductory Programming,95,89,
COMP0067,App Engineering,80,70,
COMP0068,Computer Architecture and Operating Systems,80,70,
COMP0070,Algorithmics,80,70,
COMP0071,Software Engineering,50,44,
COMP0073,MSc Computer Science Project,68,70,
COMP0075,Financial Market Modelling and Analysis,25,13,
COMP0076,MSc Financial Risk Management Project,38,36,
COMP0077,MSc Computational Finance Project,39,39,
COMP0078,Supervised Learning,130,117,
COMP0080,Graphical Models,80,57,
COMP0081,Applied Machine Learning,200,142,
COMP0082,Bioinformatics,25,16,
COMP0083,Advanced Topics in Machine Learning,20,16,
COMP0084,Information Retrieval and Data Mining,150,147,
COMP0085,Approximate Inference and Learning in Probabilistic Models,25,22,
COMP0086,Probabilistic and Unsupervised Learning,45,39,
COMP0087,Statistical Natural Language Processing,170,168,
COMP0088,Introduction to Machine Learning,145,129,
COMP0089,Reinforcement Learning,120,84,
COMP0091,MSc Machine Learning Project,42,33,
COMP0098,MSc Computational Statistics and Machine Learning Project,33,25,
COMP0101,Requirements Engineering and Software Architecture,52,39,
COMP0102,Software Systems Integration,52,40,
COMP0103,Validation and Verification,47,33,
COMP0104,Software Development Practice,62,45,
COMP0105,Financial Institutions and Markets,70,63,
COMP0108,Research Methods in Software Engineering,43,32,
COMP0110,MSc Software Systems Engineering Research Project,43,32,
COMP0111,MSc Software Systems Engineering Group Project,43,32,
COMP0113,Virtual Environments,50,50,
COMP0114,Inverse Problems in Imaging,35,31,
COMP0118,Computational Modelling for Biomedical Imaging,30,26,
COMP0119,Acquisition and Processing of 3D Geometry,45,39,
