Module Code	Module Title	Variant	Module Code and Title	Is module new in 2023	2023-24 Requested	2023-24 Recruited	2022-23 requested	2022-23 recruited	2021-22 requested	2021-22 recruited
COMP0002	Principles of Programming	Functional programming	COMP0002 Principles of Programming (Functional programming )	FALSE			150	115.5		
COMP0002	Principles of Programming	C	COMP0002 Principles of Programming (C )	FALSE			150	115.5		
COMP0003	Theory of Computation		COMP0003 Theory of Computation	FALSE			140	124		
COMP0004	Object-Oriented Programming		COMP0004 Object-Oriented Programming	FALSE			270	166		
COMP0005	Algorithms		COMP0005 Algorithms	FALSE			120	134		
COMP0007	Directed Reading		COMP0007 Directed Reading	FALSE			70	70		
COMP0008	Computer Architecture and Concurrency		COMP0008 Computer Architecture and Concurrency	FALSE			80	0		
COMP0009	Logic		COMP0009 Logic	FALSE			170	199		
COMP0010	Software Engineering		COMP0010 Software Engineering	FALSE			180	120		
COMP0011	Introductory Mathematics for Computer Science		COMP0011 Introductory Mathematics for Computer Science	FALSE			130	110		
COMP0012	Compilers		COMP0012 Compilers	TRUE			0	0		
COMP0014	Intelligent Systems		COMP0014 Intelligent Systems	FALSE			44	32		
COMP0015_T1	Introduction to Programming	Term 1	COMP0015_T1 Introduction to Programming (Term 1 )	FALSE			0	185		
COMP0015_T2	Introduction to Programming	Term 2	COMP0015_T2 Introduction to Programming (Term 2 )	FALSE			0	185		
COMP0016	Systems Engineering		COMP0016 Systems Engineering	FALSE			800	574		
COMP0017	Computability and Complexity Theory		COMP0017 Computability and Complexity Theory	FALSE			176	176		
COMP0019	Computer Systems		COMP0019 Computer Systems	FALSE			250	50		
COMP0020	Functional Programming		COMP0020 Functional Programming	FALSE				0		
COMP0021	Interaction Design		COMP0021 Interaction Design	FALSE			134	175		
COMP0022	Database and Information Management Systems		COMP0022 Database and Information Management Systems	FALSE			30	15		
COMP0023	Networked Systems		COMP0023 Networked Systems	FALSE				0		
