Timestamp,Select module,When is the module taught/delivered?,PGTA hours excluding marking,Marking hours excluding end of year exam (if required),Marking hours for end of year exam (if required),How many TAs do you need?,duties,Select up to 3 categories that best fit the role,Enter text to be used in the advert for your module
2/5/2023 10:22,COMP0027 Computer Graphics,Term 1,120,80,0,4,"Supporting scheduled sessions (computing lab / tutorial / class etc ), Providing student support (e.g. Moodle Q&A, office hours), Preparing lab/tutorial/class activities, Marking - other (e.g. coursework, coding activities, in class tests, formative assessment, etc)","Graphics, Programming - C, Parallel computing","Support the 2-hour lab where students work on their coursework, mostly shader programming (OpenGL Shading Language). Correct those coursework."
2/5/2023 12:21,COMP0113 Virtual Environments,Term 2,100,60,0,4,"Supporting scheduled sessions (computing lab / tutorial / class etc ), Providing student support (e.g. Moodle Q&A, office hours), Facilitating student teams (e.g. projects), Preparing lab/tutorial/class activities, Marking - other (e.g. coursework, coding activities, in class tests, formative assessment, etc)","Graphics, HCI, Unity, C#. experience with VR","Duties
Support one 2 hour lab session per week.
Respond to Moodle Q&A queries.
Mark written work.
Attend and mark student seminars.

Skills and experience required
Must have: Some programming experience, experience with XR systems
Useful to have: C#, Unity

Further information 
Assistants will need to facilitate student group work using XR devices."
2/5/2023 15:28,COMP0005 Algorithms,Term 2,120,60,0,6,"Supporting scheduled sessions (computing lab / tutorial / class etc ), Marking - other (e.g. coursework, coding activities, in class tests, formative assessment, etc)","Algorithms, Programming - Python","TAs will be responsible for running labs (2 hours per week, for 10 weeks during term 2). Exercises (and draft solutions) for each lab session will be set by the module lead. TAs will also help with marking one piece of group coursework at the end of term 2/beginning of term 3 (approx 10 hours). Number of hours per TA: 30."
3/5/2023 16:33,COMP0147 Discrete Mathematics for Computer Scientists,Term 1,194,0,50,5,"Supporting scheduled sessions (computing lab / tutorial / class etc ), Providing student support (e.g. Moodle Q&A, office hours), Preparing lab/tutorial/class activities, Marking - end of year exam (term 3)",Mathematics,"The course is an introduction to discrete mathematics, and it requires elementary knowledge of this subject. A teaching assistant for this course will supervise a group of students in a weekly 1 hour exercise session (sheets and solutions will be provided), for a total of 8 weeks, in T1, and be available to discuss with the lecturer the design of the mid-term coursework quiz, and to discuss its outcome with the students. Also, the teaching assistant will be involved in the marking for the course, in T3, under the supervision of the lecturer."
3/5/2023 16:41,COMP0009 Logic,Term 1,95,0,0,8,"Supporting scheduled sessions (computing lab / tutorial / class etc ), Providing student support (e.g. Moodle Q&A, office hours), Marking - other (e.g. coursework, coding activities, in class tests, formative assessment, etc)",Logic,"Teaching assistants needed to run weekly problem classes, in logic. Also, one PGTA to help with questions and design for an automatically marked coursework."
4/5/2023 11:47,COMP0165 Digital Technologies and Business Strategy,Term 2,80,20,,1,"Supporting scheduled sessions (computing lab / tutorial / class etc ), Providing student support (e.g. Moodle Q&A, office hours), Facilitating student teams (e.g. projects), Preparing lab/tutorial/class activities, Marking - other (e.g. coursework, coding activities, in class tests, formative assessment, etc)",Digital Technology and Business Strategy,"15 hours - teaching in class
20 hours - exercises and case study discussion and coordination in class
15 hours - class preparation, case studies preparation (support)
20 hours - Moodle and online support (support)
10 hours - meeting with students (support)
20 hours - exam preparation and marking (we had 3 coursework last year)"
6/23/2023 16:30:16,ENGF0032_T2 Design and Professional Skills (Term 2 ),Term 2,20,60,0,4,"Providing student support (e.g. Moodle Q&A, office hours), Marking - other (e.g. coursework, coding activities, in class tests, formative assessment, etc)","Programming - Java, Programming - Python, Software engineering","Duties:
1-2 hours of student support (office hours or answering questions on Moodle) per week (8-16 hours).
10-40 hours of marking, concentrated during the reading week of Term 2, with additional marking after Term 2 ends. Marking involves mainly giving feedback on technical writing (project plans).
Can choose a subset of these duties as desired.

Skills and experience required: 
Must have: Basic programming and software engineering experience (enough to give advice and feedback to 1st year UG students working on a fairly hefty programming project).
Useful to have: Python, Java, web development experience, etc.
"
4/5/2023 13:10,COMP0002 Principles of Programming (C ),Term 1,180,0,0,6,Supporting scheduled sessions (computing lab / tutorial / class etc ),Programming - C,"Duties: support two 2-hour labs per week.
Skills and experience required: C programming, Visual Studio Code"
4/5/2023 13:14,COMP0004 Object-Oriented Programming,Term 2,360,0,0,6,Supporting scheduled sessions (computing lab / tutorial / class etc ),Programming - Java,"Duties: Support two 2-hour lab sessions per week
Skill and experience: Good knowledge of Java and OO concepts/design. Using an IDE."
4/5/2023 18:33,COMP0019 Computer Systems,Term 2,96,0,75,3,"Providing student support (e.g. Moodle Q&A, office hours), Marking - end of year exam (term 3)","Programming - C, Computer Systems","Skills required:
Must be expert C programmers and x86-64 assembly programmer; must have detailed familiarity with UNIX and Linux system call interface; must be familiar with low-level x86-64 CPU virtual memory hardware and OS kernel code for virtual memory."
