Module Code,Module Title,Variant,Module Code and Title,Is module new in 2023,"Add assessment types? coursework, tests, year end exams?","Add PGTA roles e.g. classes, marking?",Add module level?,"Add module core focus e.g. prpogramming, AI/ML, Maths, robotocs eyc?",Add programme module is in?,Add module credit?
COMP0002,Principles of Programming,Functional programming,COMP0002 Principles of Programming (Functional programming ),FALSE,,,,,,
COMP0002,Principles of Programming,C,COMP0002 Principles of Programming (C ),FALSE,,,,,,
COMP0003,Theory of Computation,,COMP0003 Theory of Computation,FALSE,,,,,,
COMP0004,Object-Oriented Programming,,COMP0004 Object-Oriented Programming,FALSE,,,,,,
COMP0005,Algorithms,,COMP0005 Algorithms,FALSE,,,,,,
COMP0007,Directed Reading,,COMP0007 Directed Reading,FALSE,,,,,,
COMP0008,Computer Architecture and Concurrency,,COMP0008 Computer Architecture and Concurrency,FALSE,,,,,,
COMP0009,Logic,,COMP0009 Logic,FALSE,,,,,,
COMP0010,Software Engineering,,COMP0010 Software Engineering,FALSE,,,,,,
COMP0011,Introductory Mathematics for Computer Science,,COMP0011 Introductory Mathematics for Computer Science,FALSE,,,,,,
COMP0012,Compilers,,COMP0012 Compilers,TRUE,,,,,,
COMP0014,Intelligent Systems,,COMP0014 Intelligent Systems,FALSE,,,,,,
COMP0015_T1,Introduction to Programming,Term 1,COMP0015_T1 Introduction to Programming (Term 1 ),FALSE,,,,,,
COMP0015_T2,Introduction to Programming,Term 2,COMP0015_T2 Introduction to Programming (Term 2 ),FALSE,,,,,,
COMP0016,Systems Engineering,,COMP0016 Systems Engineering,FALSE,,,,,,
COMP0017,Computability and Complexity Theory,,COMP0017 Computability and Complexity Theory,FALSE,,,,,,
COMP0019,Computer Systems,,COMP0019 Computer Systems,FALSE,,,,,,
COMP0020,Functional Programming,,COMP0020 Functional Programming,FALSE,,,,,,
COMP0021,Interaction Design,,COMP0021 Interaction Design,FALSE,,,,,,
COMP0022,Database and Information Management Systems,,COMP0022 Database and Information Management Systems,FALSE,,,,,,
COMP0023,Networked Systems,,COMP0023 Networked Systems,FALSE,,,,,,
COMP0024,Artificial Intelligence and Neural Computing,,COMP0024 Artificial Intelligence and Neural Computing,FALSE,,,,,,
COMP0025,Introduction to Cryptography,,COMP0025 Introduction to Cryptography,FALSE,,,,,,
COMP0026,Image Processing,,COMP0026 Image Processing,FALSE,,,,,,
COMP0027,Computer Graphics,,COMP0027 Computer Graphics,FALSE,,,,,,
COMP0029,Individual Project for Year 3 BSc,,COMP0029 Individual Project for Year 3 BSc,FALSE,,,,,,
